,noise_level,multivariate_no,MLP_r2,HNN_r2
0,0.5,0,-0.5642032391700083,0.4385552915254554
0,0.5,1,-0.3230560716107419,0.648046917700005
0,0.5,2,-0.6003451113921286,0.5205917198858747
0,0.5,3,-0.3421313350101727,0.6380307824750715
0,0.5,4,-0.1964433717020982,0.6325668681201961
0,0.5,5,-0.7384844565538426,0.49156910298292644
0,0.5,6,-0.4057234891668519,0.6935496146936385
0,0.5,7,-0.14031756047500668,-0.25760164326353835
0,0.5,8,-0.18416251001031542,0.6009281570839644
0,0.5,9,-0.5927740505471341,0.4974325407111912
0,0.5,10,-1.2112810605697304,0.6737392626888999
0,0.5,11,-0.10318939669215622,0.6811340760256835
0,0.5,12,-0.45398722541157693,0.6156712414433065
0,0.5,13,-0.7066563078628162,0.5415100438389016
0,0.5,14,-5.726047836060063e+18,0.3983244140720044
0,0.5,15,-0.5436277384216234,0.4464222315365702
0,0.5,16,-0.2201082681085054,0.6563172721608327
0,0.5,17,-0.3080343738324672,0.6844527087090838
0,0.5,18,-0.5050552467554654,0.619232699741349
0,0.5,19,-0.13506739242946433,0.6839979964613222
0,0.5,20,-2.321616103820594,-0.5482424871492295
0,0.5,21,-0.5596782039160981,0.5823155294543303
0,0.5,22,-0.4837603683243798,0.6778431123323582
0,0.5,23,-1.3738853460481057,0.06035063626559894
0,0.5,24,-0.36244104122700027,0.6757451637450779
